its3-8.public.dundee.ac.uk - - [02/Jun/1995:05:48:27 -0600] "GET /cgi-bin/hytelnet?file=US000OTH HTTP/1.0" 200 48064
its3-8.public.dundee.ac.uk - - [02/Jun/1995:06:07:56 -0600] "GET /cgi-bin/hytelnet?file=US000OTH HTTP/1.0" 200 48064
med457.bham.ac.uk - - [02/Jun/1995:06:30:58 -0600] "GET /~scottp/free.html" 200 5759
fatty.law.cornell.edu - - [02/Jun/1995:06:41:17 -0600] "GET /~ladd/ostriches.html" 200 205908
crowfoot.nda.ox.ac.uk - - [02/Jun/1995:06:53:43 -0600] "GET /~macpherc/hibs/AK/AK.html" 200 1531
albireo.tdb.uu.se - - [02/Jun/1995:07:03:23 -0600] "GET /dcs/courses/cai/html/glossary/h.html HTTP/1.0" 200 1268
crowfoot.nda.ox.ac.uk - - [02/Jun/1995:07:17:22 -0600] "GET /~macpherc/hibs/fanzines/fanzines.html" 200 5380
pin_noir.qc.forintek.ca - - [02/Jun/1995:07:34:00 -0600] "GET /cgi-bin/hytelnet?file=FR001 HTTP/1.0" 200 319
pc19.lab_c_g096.ulst.ac.uk - - [02/Jun/1995:07:42:28 -0600] "GET /~macpherc/images/hot.gif" 200 1324
neftis.upc.es - - [02/Jun/1995:07:48:17 -0600] "GET /~friesend/tolkien/rootpage.html" 200 461
albireo.tdb.uu.se - - [02/Jun/1995:07:57:03 -0600] "GET /images/caution_32.gif HTTP/1.0" 200 165
slamm.qcc.sk.ca - - [02/Jun/1995:08:05:31 -0600] "GET /~lowey/kevin.gif" 200 49649
dialin-ttyrc.sky.net - - [02/Jun/1995:08:11:34 -0600] "GET /cgi-bin/hytelnet?file=BBS000 HTTP/1.0" 200 8952
ppp5.inst.com - - [02/Jun/1995:08:28:06 -0600] "GET /~scottp/publish.html" 200 271
lib448.usask.ca - - [02/Jun/1995:08:34:17 -0600] "GET /images/earth_32.gif HTTP/1.0" 200 241
silver.jba.co.uk - - [02/Jun/1995:08:41:49 -0600] "GET /~lowey/encyclopedia/icons/kevhead.gif" 200 1667
edu232.usask.ca - - [02/Jun/1995:08:48:28 -0600] "GET /computers_in_teaching/CMPTRS_IN_TCHING.html HTTP/1.0" 404 -
geol39.usask.ca - - [02/Jun/1995:08:51:28 -0600] "GET /~macpherc/images/hot.gif" 200 1324
grumpy.chatham.edu - - [02/Jun/1995:08:54:32 -0600] "GET /~lowey/webville/places/info_centre/index.html" 200 1224
cayley.uwaterloo.ca - - [02/Jun/1995:09:01:49 -0600] "GET /~turner/may18" 200 3232
duke.usask.ca - - [02/Jun/1995:09:05:59 -0600] "GET /~medialit/keypal23.htm" 200 1247
dial187203.wbm.ca - - [02/Jun/1995:09:09:58 -0600] "GET /images/down_32.gif HTTP/1.0" 200 187
freenet2.carleton.ca - - [02/Jun/1995:09:15:35 -0600] "GET /~scottp/free.html" 200 5924
www-relay.pa-x.dec.com - - [02/Jun/1995:09:25:43 -0600] "GET /dcs/courses/cai/html/skeleton_lesson/view.html HTTP/1.0" 200 2275
slip5.ac.brocku.ca - - [02/Jun/1995:09:34:43 -0600] "GET /cgi-bin/hytelnet?file=SITES2 HTTP/1.0" 200 1091
yak-ts1-p09.wolfe.net - - [02/Jun/1995:09:39:41 -0600] "GET /~keele/images/karate/icon/yokogeri.gif" 200 216
